,Common Name,Order,Family,Genus,Binomial,Pri Head Col,Sec Head Col,Head Pattern,Num Head Cols,Pri Body Col,Sec Body Col,Body Pattern,Num Body Cols,Pri Leg Col,Sec Leg Col,Leg Pattern,Num Leg Cols,Pri Tail Col,Sec Tail Col,Tail Pattern,Num Tail Cols,Mean Precipitation,Mean Evapotranspiration,MidRange Latitude,PC1
1,Fynbos Golden Mole,Afrosoricida,Chrysochloridae,Amblysomus,Amblysomus corriae,B3,G1,1,2,B5,NA,0,1,B3,NA,0,1,NA,NA,NA,NA,34.4,463.12,-33.63,1.48533644
2,Zulu Golden Mole,Afrosoricida,Chrysochloridae,Amblysomus,Amblysomus hottentotus,F4,G3,1,2,G2,F4,4,2,G2,NA,0,1,NA,NA,NA,NA,55.31,798.1,-29.74,0.769888357
3,Marley's Golden Mole,Afrosoricida,Chrysochloridae,Amblysomus,Amblysomus marleyi,B1,F5,1,2,F3,F5,4,2,F2,NA,0,1,NA,NA,NA,NA,74.66,1009.26,-27.6,0.259589877
4,Robust Golden Mole,Afrosoricida,Chrysochloridae,Amblysomus,Amblysomus robustus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.24,1008.7,-25.64,0.35100631
5,Highveld Golden Mole,Afrosoricida,Chrysochloridae,Amblysomus,Amblysomus septentrionalis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.76,799.49,-27.28,0.753814552
6,Congo Golden Mole ,Afrosoricida,Chrysochloridae,Huetia,Huetia leucorhina,A1,B5,1,2,B5,NA,0,1,B5,NA,0,1,NA,NA,NA,NA,129.9,1226.73,-2.2,-0.605417078
7,Yellow Golden Mole,Afrosoricida,Chrysochloridae,Calcochloris,Calcochloris obtusirostris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.42,861.55,-23.61,0.556030886
8,Somali Golden Mole,Afrosoricida,Chrysochloridae,Calcochloris,Calcochloris tytonis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.5,509,2.77,1.404303023
9,Arend's Golden Mole,Afrosoricida,Chrysochloridae,Carpitalpa,Carpitalpa arendsi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.34,989.62,-18.89,0.090950277
10,Duthie's Golden Mole,Afrosoricida,Chrysochloridae,Chlorotalpa,Chlorotalpa duthieae,F4,NA,0,1,F5,NA,0,1,F5,NA,0,1,NA,NA,NA,NA,53.64,639.91,-33.65,1.02887815
11,Sclater's Golden Mole,Afrosoricida,Chrysochloridae,Chlorotalpa,Chlorotalpa sclateri,F2,F4,1,2,F2,NA,0,1,F2,NA,0,1,NA,NA,NA,NA,38.02,534.62,-29.65,1.340732559
12,Cape Golden Mole,Afrosoricida,Chrysochloridae,Chrysochloris,Chrysochloris asiatica,B5,A1,1,2,B5,NA,0,1,B5,NA,0,1,NA,NA,NA,NA,19.96,331.28,-32.08,1.82662066
13,Stuhlmann's Golden Mole,Afrosoricida,Chrysochloridae,Chrysochloris,Chrysochloris stuhlmanni,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112.83,1306.84,-1.35,-0.564346223
14,Visagie's Golden Mole,Afrosoricida,Chrysochloridae,Chrysochloris,Chrysochloris visagiei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.49,239.03,-31.44,2.040101611
15,Giant Golden Mole,Afrosoricida,Chrysochloridae,Chrysospalax,Chrysospalax trevelyani,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.73,956.76,-32.02,0.445287614
16,Rough-Haired Golden Mole,Afrosoricida,Chrysochloridae,Chrysospalax,Chrysospalax villosus,F4,F1,1,2,F3,F2,6,2,F2,NA,0,1,NA,NA,NA,NA,69.15,952.11,-27.87,0.400325124
17,De Winton's Golden Mole,Afrosoricida,Chrysochloridae,Cryptochloris,Cryptochloris wintoni,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-29.24,NA
18,Van Zyl's Golden Mole,Afrosoricida,Chrysochloridae,Cryptochloris,Cryptochloris zyli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,355,-32.09,1.828261662
19,Grant's Golden Mole,Afrosoricida,Chrysochloridae,Eremitalpa,Eremitalpa granti,G1,G2,1,2,G1,B4,4,2,G1,NA,0,1,NA,NA,NA,NA,5.49,178.79,-27.49,2.199905918
20,Gunning's Golden Mole,Afrosoricida,Chrysochloridae,Neamblysomus,Neamblysomus gunningi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.99,998.54,-23.95,0.340172912
21,Juliana's Golden Mole ,Afrosoricida,Chrysochloridae,Neamblysomus,Neamblysomus julianae,G2,G3,1,2,F3,NA,0,1,D2,NA,0,1,NA,NA,NA,NA,52.63,765.87,-25.06,0.845148051
22,Lesser Hedgehog Tenrec,Afrosoricida,Tenrecidae,Echinops,Echinops telfairi,E1,G1,3,3,G1,E1,"1, 4",3,E1,NA,0,1,NA,NA,NA,NA,57.94,801.62,-22.58,0.739199879
23,Large-Eared Tenrec,Afrosoricida,Tenrecidae,Geogale,Geogale aurita,C3,G1,1,2,C3,G1,4,2,C3,NA,0,1,C3,NA,0,1,57.89,796.39,-22.55,0.747712361
24,Highland Streaked Tenrec,Afrosoricida,Tenrecidae,Hemicentetes,Hemicentetes nigriceps,C5,G1,1,2,C5,G1,3,2,C4,NA,0,1,NA,NA,NA,NA,149.95,1263.42,-22.17,-0.85450753
25,Lowland Streaked Tenrec,Afrosoricida,Tenrecidae,Hemicentetes,Hemicentetes semispinosus,C5,G2,2,2,C5,G2,3,2,C4,G2,2,2,NA,NA,NA,NA,175.17,1342.17,-19.31,-1.217890706
26,Web-Footed Tenrec,Afrosoricida,Tenrecidae,Limnogale,Limnogale mergulus,F4,C5,1,2,F4,A1,4,2,C4,NA,0,1,C5,C2,1,2,153.37,1263.37,-20.88,-0.887307919
27,Short-Tailed Shrew Tenrec,Afrosoricida,Tenrecidae,Microgale,Microgale brevicaudata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132.3,1127.12,-18.37,-0.475515593
28,Cowan's Shrew Tenrec,Afrosoricida,Tenrecidae,Microgale,Microgale cowani,F4,NA,0,1,F4,C3,4,2,C3,NA,0,1,F4,NA,0,1,175.91,1332.61,-18.37,-1.210322987
29,Dobson's Shrew Tenrec,Afrosoricida,Tenrecidae,Microgale,Microgale dobsoni,F2,NA,0,1,F2,NA,0,1,E2,NA,0,1,E2,NA,0,1,178.65,1337.07,-18.56,-1.243512496
30,Drouhard's Shrew Tenrec,Afrosoricida,Tenrecidae,Microgale,Microgale drouhardi,F3,F4,2,2,F3,C5,"3, 4",3,1,NA,0,1,E3,1,1,2,175.85,1353.87,-17.67,-1.242395626
31,Dryad Shrew Tenrec,Afrosoricida,Tenrecidae,Microgale,Microgale dryas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201.95,1473.97,-16.52,-1.677740497
32,Pale Shrew Tenrec,Afrosoricida,Tenrecidae,Microgale,Microgale fotsifotsy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180.28,1354.56,-19.35,-1.28604179
33,Gracile Shrew Tenrec,Afrosoricida,Tenrecidae,Microgale,Microgale gracilis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167.57,1326.39,-21.84,-1.120596637
34,Grandidier's Shrew Tenrec,Afrosoricida,Tenrecidae,Microgale,Microgale grandidieri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,Naked-Nosed Shrew Tenrec ,Afrosoricida,Tenrecidae,Microgale,Microgale gymnorhyncha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,184.92,1359.06,-18.54,-1.337557826
36,Jenkins' Shrew Tenrec,Afrosoricida,Tenrecidae,Microgale,Microgale jenkinsae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,Northern Shrew Tenrec,Afrosoricida,Tenrecidae,Microgale,Microgale jobihely,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,Lesser Long-Tailed Shrew Tenrec,Afrosoricida,Tenrecidae,Microgale,Microgale longicaudata,F3,G1,1,2,F3,G1,4,2,E1,NA,0,1,C2,NA,0,1,178.07,1358.09,-17.68,-1.270217694
39,Major's Long-Tailed Shrew Tenrec,Afrosoricida,Tenrecidae,Microgale,Microgale majori,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,Montane Shrew Tenrec,Afrosoricida,Tenrecidae,Microgale,Microgale monticola,F4,NA,0,1,F4,C3,4,2,E2,NA,0,1,C4,NA,0,1,139.24,1375.45,-14.59,-0.923596905
41,Nasolo's Shrew Tenrec,Afrosoricida,Tenrecidae,Microgale,Microgale nasoloi,C1,NA,0,1,C1,A1,4,2,E1,NA,0,1,E2,NA,0,1,57.75,710.78,-22.63,0.880531301
42,Pygmy Shrew Tenrec ,Afrosoricida,Tenrecidae,Microgale,Microgale parvula,F5,NA,0,1,F5,NA,0,1,C4,NA,0,1,C4,NA,0,1,170.29,1327.95,-18.67,-1.149140291
43,Greater Long-Tailed Shrew Tenrec ,Afrosoricida,Tenrecidae,Microgale,Microgale principula,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177.02,1355.63,-19.45,-1.25634595
44,Least Shrew Tenrec,Afrosoricida,Tenrecidae,Microgale,Microgale pusilla,F2,D1,1,2,F2,D1,4,2,E2,NA,0,1,C4,C1,"1, 2",3,162.43,1196.18,-20.83,-0.871218487
45,Shrew-Toothed Shrew Tenrec,Afrosoricida,Tenrecidae,Microgale,Microgale soricoides,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177.21,1341.31,-18.49,-1.236180933
46,Taiva Shrew Tenrec,Afrosoricida,Tenrecidae,Microgale,Microgale taiva,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177.7,1339.27,-21.81,-1.237758534
47,Talazac's Shrew Tenrec,Afrosoricida,Tenrecidae,Microgale,Microgale talazaci,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,169.39,1324.6,-17.69,-1.135343737
48,Thomas' Shrew Tenrec,Afrosoricida,Tenrecidae,Microgale,Microgale thomasi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183,1359.73,-21.93,-1.320129397
49,Nimba Otter Shrew,Afrosoricida,Tenrecidae,Micropotamogale,Micropotamogale lamottei,E4,NA,0,1,E4,NA,0,1,E3,NA,0,1,E3,NA,0,1,189.05,1304.52,7.03,-1.293502146
50,Rwenzori Otter Shrew,Afrosoricida,Tenrecidae,Micropotamogale,Micropotamogale ruwenzorii,B5,NA,0,1,B5,NA,0,1,B5,NA,0,1,B5,C4,1,2,112.06,1364.45,-1.3,-0.645416949
51,Mole-Like Rice Tenrec,Afrosoricida,Tenrecidae,Oryzorictes,Oryzorictes hova,E3,D2,1,2,E3,D2,4,2,1,NA,0,1,1,NA,0,1,196.86,1402.84,-16.96,-1.519573415
52,Four-Toed Rice Tenrec,Afrosoricida,Tenrecidae,Oryzorictes,Oryzorictes tetradactylus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165.62,1323.38,-21.59,-1.097228359
53,Giant Otter Shrew,Afrosoricida,Tenrecidae,Potamogale,Potamogale velox,E3,F1,1,2,E3,F1,4,2,E3,NA,0,1,E4,NA,0,1,133.62,1247,-2.03,-0.672307284
54,Greater Hedgehog Tenrec,Afrosoricida,Tenrecidae,Setifer,Setifer setosus,E2,D4,3,3,D4,F1,1,2,E2,NA,0,1,NA,NA,NA,NA,125.02,1093.42,-18.96,-0.353777627
55,Tailless Tenrec,Afrosoricida,Tenrecidae,Tenrec,Tenrec ecaudatus,F2,F1,3,3,F1,E1,"1, 6",3,E2,NA,0,1,NA,NA,NA,NA,123.97,1092.74,-18.96,-0.342639467
56,Pronghorn,Cetartiodactyla,Antilocapridae,Antilocapra,Antilocapra americana,A1,C5,3,3,E2,A1,4,2,F1,A1,2,2,A1,NA,0,1,29.88,435.07,37.21,1.571865125
57,Addax,Cetartiodactyla,Bovidae,Addax,Addax nasomaculatus,E2,A1,3,3,F1,A1,4,2,A1,NA,0,1,A1,NA,0,1,5.51,130.78,20.52,2.273443628
58,Impala,Cetartiodactyla,Bovidae,Aepyceros,Aepyceros melampus,G2,NA,0,1,G1,G3,4,2,G1,NA,0,1,G1,C5,1,2,73.05,841.64,-12.91,0.532484728
59,Hartebeest,Cetartiodactyla,Bovidae,Alcelaphus,Alcelaphus buselaphus,G3,G1,1,2,G1,NA,0,1,G1,A1,2,2,A1,NA,0,1,93.92,957.29,5.81,0.1542509
60,Dibatag,Cetartiodactyla,Bovidae,Ammodorcas,Ammodorcas clarkei,G1,G2,1,2,G1,D2,4,2,G1,NA,0,1,C5,C4,2,2,17.16,305.08,6.18,1.89377354
61,Aoudad,Cetartiodactyla,Bovidae,Ammotragus,Ammotragus lervia,E1,NA,0,1,E1,NA,0,1,E1,NA,0,1,E1,NA,0,1,5.62,103.32,24.84,2.314557079
62,Springbok,Cetartiodactyla,Bovidae,Antidorcas,Antidorcas marsupialis,A1,G1,3,3,G2,G4,4,3,G1,A1,2,2,A1,NA,0,1,24,377.23,-20.74,1.717216907
63,Blackbuck,Cetartiodactyla,Bovidae,Antilope,Antilope cervicapra,C5,A1,3,2,D5,A1,4,2,D5,D2,2,3,F3,A1,1,2,76.83,688.1,18.75,0.731941428
64,Arabian Tahr,Cetartiodactyla,Bovidae,Arabitragus,Arabitragus jayakari,E1,E4,2,2,E1,E4,6,2,E1,E4,3,2,E4,NA,0,1,6.05,148.74,24.28,2.240670943
65,Hirola,Cetartiodactyla,Bovidae,Beatragus,Beatragus hunteri,G2,A1,3,2,G2,NA,0,1,G2,NA,0,1,G2,A1,2,2,42.28,643.41,-0.57,1.132709181
66,American Bison,Cetartiodactyla,Bovidae,Bison,Bison bison,E4,NA,0,1,E3,NA,0,1,E3,NA,0,1,E3,NA,0,1,33.59,409.79,44.31,1.57502315
67,Wisent,Cetartiodactyla,Bovidae,Bison,Bison bonasus,E4,NA,0,1,E3,NA,0,1,E3,NA,0,1,E3,NA,0,1,NA,NA,NA,NA
68,Gaur,Cetartiodactyla,Bovidae,Bos,Bos gaurus,E5,E3,1,2,E5,NA,0,1,E5,A1,1,2,E5,NA,0,1,145.21,1053.45,15.43,-0.486485543
69,Banteng,Cetartiodactyla,Bovidae,Bos,Bos javanicus,E5,A1,3,2,E5,NA,0,1,E5,A1,1,2,E5,NA,0,1,187.69,1301.28,8.15,-1.275452445
70,Yak,Cetartiodactyla,Bovidae,Bos,Bos mutus,E5,NA,0,1,E5,NA,0,1,E5,NA,0,1,E5,NA,0,1,30.41,246.2,34.27,1.856821783
71,Kouprey,Cetartiodactyla,Bovidae,Bos,Bos sauveli,E4,A1,3,2,E4,NA,0,1,E4,A1,1,2,E4,NA,0,1,170.36,1144.18,13.76,-0.867593734
72,Nilgai,Cetartiodactyla,Bovidae,Boselaphus,Boselaphus tragocamelus,C3,NA,0,1,C3,NA,0,1,C5,A1,3,2,C3,NA,0,1,86.66,750.64,22.35,0.54139958
73,Wild Water Buffalo,Cetartiodactyla,Bovidae,Bubalus,Bubalus arnee,C4,NA,0,1,C4,NA,0,1,C4,NA,0,1,C4,NA,0,1,154.04,1028.93,NA,-0.533714296
74,Lowland Anoa,Cetartiodactyla,Bovidae,Bubalus,Bubalus depressicornis,E5,A1,3,2,E5,NA,0,1,E5,NA,0,1,E5,NA,0,1,227.75,1814.71,-1.33,-2.449042927
75,Tamaraw,Cetartiodactyla,Bovidae,Bubalus,Bubalus mindorensis,C5,NA,0,1,C5,NA,0,1,C5,NA,0,1,C5,NA,0,1,196.39,NA,12.86,NA
76,Mountain Anoa,Cetartiodactyla,Bovidae,Bubalus,Bubalus quarlesi,E5,A1,3,2,E5,NA,0,1,E5,NA,0,1,E5,NA,0,1,228.75,1813.15,-2.33,-2.456260411
77,Takin,Cetartiodactyla,Bovidae,Budorcas,Budorcas taxicolor,D4,NA,0,1,D2,NA,0,1,D2,E4,1,2,D2,NA,0,1,129.45,808.24,30.15,0.041592823
78,Wild Goat,Cetartiodactyla,Bovidae,Capra,Capra aegagrus,E3,E4,1,2,F1,E3,4,3,D1,D2,3,4,E4,NA,0,1,NA,NA,NA,NA
79,Western Tur,Cetartiodactyla,Bovidae,Capra,Capra caucasica,E1,D2,1,2,E1,NA,0,1,E1,E3,3,3,E4,NA,0,1,57.31,612.18,42.33,1.036183221
80,Daghestan Tur,Cetartiodactyla,Bovidae,Capra,Capra cylindricornis,D2,D3,1,2,D2,NA,0,1,D2,E3,1,2,D5,NA,0,1,NA,NA,NA,NA
81,Markhor,Cetartiodactyla,Bovidae,Capra,Capra falconeri,D2,NA,0,1,D2,NA,0,1,D1,A1,3,3,D3,NA,0,1,22.18,340.32,33.87,1.791396416
82,Alpine Ibex,Cetartiodactyla,Bovidae,Capra,Capra ibex,E3,NA,0,1,E3,NA,0,1,E4,NA,0,1,E4,NA,0,1,87.78,586.2,45.83,0.783166777
83,Nubian Ibex,Cetartiodactyla,Bovidae,Capra,Capra nubiana,F2,NA,0,1,F2,NA,0,1,F2,F4,3,3,F4,NA,0,1,7.67,137.73,23.53,2.242005834
84,Iberian Wild Goat,Cetartiodactyla,Bovidae,Capra,Capra pyrenaica,E2,E5,1,2,E2,E5,6,2,E2,E5,2,2,E5,NA,0,1,42.64,478.71,39.02,1.382181704
85,Siberian Ibex,Cetartiodactyla,Bovidae,Capra,Capra sibirica,E1,NA,0,1,E1,A1,4,2,E1,E3,3,3,E5,A1,1,2,20.81,271.47,43.53,1.910300916
86,Walia Ibex,Cetartiodactyla,Bovidae,Capra,Capra walie,F4,NA,0,1,F4,D1,4,3,D2,D5,2,2,D5,NA,0,1,81.2,764.2,13.35,0.573063322
87,Japanese Serow,Cetartiodactyla,Bovidae,Capricornis,Capricornis crispus,B1,B2,1,2,B2,NA,0,1,B2,NA,0,1,B2,NA,0,1,144.41,783.9,36.75,-0.064841331
88,Chinese Serow,Cetartiodactyla,Bovidae,Capricornis,Capricornis milneedwardsii,F5,NA,0,1,F5,A1,6,2,F3,F5,1,2,F5,NA,0,1,131.68,983.38,21.61,-0.248810841
89,Red Serow,Cetartiodactyla,Bovidae,Capricornis,Capricornis rubidus,G3,A1,1,2,G4,NA,0,1,G4,NA,0,1,G4,NA,0,1,181.29,1176.56,26.69,-1.022392761
90,Sumatran Serow,Cetartiodactyla,Bovidae,Capricornis,Capricornis sumatraensis,C5,NA,0,1,C5,C3,6,2,C5,F4,1,2,C5,NA,0,1,227.32,1679.87,1.52,-2.237832603
91,Formosan Serow,Cetartiodactyla,Bovidae,Capricornis,Capricornis swinhoei,E3,G1,1,3,E3,NA,0,1,E3,G3,2,2,E3,NA,0,1,165.28,NA,23.57,NA
92,Himalayan Serow,Cetartiodactyla,Bovidae,Capricornis,Capricornis thar,C5,NA,0,1,C5,G3,6,2,G4,A1,1,2,G4,A1,2,2,151.07,944.55,27.93,-0.375578911
93,Aders' Duiker,Cetartiodactyla,Bovidae,Cephalophus,Cephalophus adersi,G3,F4,1,3,G3,A1,4,2,G3,A1,3,2,G3,A1,2,2,71.5,1011.99,-4.78,0.285775099
94,Peter's Duiker,Cetartiodactyla,Bovidae,Cephalophus,Cephalophus callipygus,E2,NA,0,1,F3,E5,6,2,E3,NA,0,1,E5,NA,0,1,150.69,1312.4,-0.41,-0.936840929
95,Bay Duiker,Cetartiodactyla,Bovidae,Cephalophus,Cephalophus dorsalis,F3,E5,2,2,F3,E5,3,2,F3,E5,1,2,E5,NA,0,1,151.81,1371.07,1.14,-1.037708484
96,Harvey's Red Duiker,Cetartiodactyla,Bovidae,Cephalophus,Cephalophus harveyi,G3,F5,2,2,G3,NA,0,1,G4,NA,0,1,G3,F5,0,1,NA,NA,NA,NA
97,Jentink's Duiker ,Cetartiodactyla,Bovidae,Cephalophus,Cephalophus jentinki,C5,NA,0,1,C2,C5,6,2,A1,NA,0,1,C2,NA,0,1,210.72,1345.35,6.79,-1.564523883
98,White-Bellied Duiker ,Cetartiodactyla,Bovidae,Cephalophus,Cephalophus leucogaster,G2,F4,1,2,G2,F5,6,3,F4,NA,0,1,F5,NA,0,1,145.99,1385.58,-0.45,-1.004042922
99,Natal Red Duiker,Cetartiodactyla,Bovidae,Cephalophus,Cephalophus natalensis,G3,F4,1,2,G3,NA,0,1,G3,NA,0,1,G3,NA,0,1,79.36,924.61,-19.25,0.344406592
100,Black Duiker,Cetartiodactyla,Bovidae,Cephalophus,Cephalophus niger,E3,NA,0,1,E5,NA,0,1,E5,NA,0,1,E5,C1,2,2,154.49,1256.5,6.79,-0.887524309
101,Black-Fronted Duiker,Cetartiodactyla,Bovidae,Cephalophus,Cephalophus nigrifrons,G4,C5,2,2,G4,NA,0,1,C5,G4,1,2,G4,C1,2,2,140.38,1348.71,-2.36,-0.893490779
102,Ogilby's Duiker,Cetartiodactyla,Bovidae,Cephalophus,Cephalophus ogilbyi,F3,NA,0,1,G3,NA,0,1,G3,NA,0,1,G3,C5,2,2,190.65,1242.62,1.84,-1.213822139
103,Red-Flanked Duiker,Cetartiodactyla,Bovidae,Cephalophus,Cephalophus rufilatus,G3,E4,1,3,G3,E4,6,2,E4,NA,0,1,G3,E4,2,2,108.89,973.28,9.41,-0.014215022
104,Yellow-Backed Duiker,Cetartiodactyla,Bovidae,Cephalophus,Cephalophus silvicultor,C5,D1,1,2,C5,G1,6,2,C5,NA,0,1,C5,NA,0,1,132.7,1197.42,-1.89,-0.587322076
105,Abbott's Duiker,Cetartiodactyla,Bovidae,Cephalophus,Cephalophus spadix,E4,D1,1,3,E4,NA,0,1,E4,NA,0,1,E4,NA,0,1,77.3,950.45,-6.04,0.324526767
106,Weyns' Duiker,Cetartiodactyla,Bovidae,Cephalophus,Cephalophus weynsi,G3,C4,3,3,G3,C4,6,2,C4,NA,0,1,G3,NA,0,1,134.53,1411.19,-0.83,-0.933205365
107,Zebra Duiker,Cetartiodactyla,Bovidae,Cephalophus,Cephalophus zebra,G3,C4,1,2,G2,C5,2,2,C4,G3,1,2,G2,NA,0,1,214.55,1342.39,6.45,-1.596796739
108,Black Wildebeest,Cetartiodactyla,Bovidae,Connochaetes,Connochaetes gnou,E5,NA,0,1,E3,NA,0,1,E3,NA,0,1,G1,NA,0,1,47.98,637.43,-28.83,1.087097502
109,Blue Wildebeest,Cetartiodactyla,Bovidae,Connochaetes,Connochaetes taurinus,C5,C3,1,2,C3,C5,2,2,C3,NA,0,1,C5,NA,0,1,61.61,731.29,-15.63,0.811926672
110,Tsessebe,Cetartiodactyla,Bovidae,Damaliscus,Damaliscus lunatus,E3,C5,1,2,E3,NA,0,1,E2,C5,3,2,E1,C5,2,2,79.47,806.64,-16.46,0.524518167
111,Bontebok,Cetartiodactyla,Bovidae,Damaliscus,Damaliscus pygargus,E4,A1,3,2,E5,E4,6,4,E5,A1,3,2,A1,C5,2,2,49.54,674.58,-29.5,1.015048854
112,Beira,Cetartiodactyla,Bovidae,Dorcatragus,Dorcatragus megalotis,G2,A1,3,2,D1,G1,4,2,G2,NA,0,1,D1,NA,0,1,14.58,197.41,10.21,2.083926719
113,Mongalla Gazelle,Cetartiodactyla,Bovidae,Eudorcas,Eudorcas albonotata,A1,G3,3,3,G2,C5,4,3,G2,A1,2,2,G2,C5,2,2,NA,NA,NA,NA
114,Red-Fronted Gazelle,Cetartiodactyla,Bovidae,Eudorcas,Eudorcas rufifrons,G3,A1,3,2,G2,G3,4,4,G2,A1,2,2,C5,NA,0,1,47.7,545.87,13.8,1.230399832
115,Red Gazelle,Cetartiodactyla,Bovidae,Eudorcas,Eudorcas rufina,G2,G3,3,3,G3,C5,4,3,G3,A1,2,2,C5,NA,0,1,NA,NA,NA,NA
116,Thomson's Gazelle,Cetartiodactyla,Bovidae,Eudorcas,Eudorcas thomsonii,G3,G2,3,4,G3,G2,4,4,G2,A1,2,2,C5,NA,0,1,72.57,947.32,1.91,0.374804054
117,Arabian Gazelle,Cetartiodactyla,Bovidae,Gazella,Gazella arabica,G2,A1,3,2,F1,A1,4,2,G1,NA,0,1,C5,NA,0,1,4.53,137.32,13.73,2.272820956
118,Chinkara,Cetartiodactyla,Bovidae,Gazella,Gazella bennettii,E1,E2,3,2,E1,A1,4,2,E1,A1,2,2,C5,NA,0,1,57.22,529.23,24.85,1.164436482
119,Cuvier's Gazelle,Cetartiodactyla,Bovidae,Gazella,Gazella cuvieri,E1,E4,3,2,E1,E4,4,3,E1,NA,0,1,C5,NA,0,1,19.8,266.43,30.43,1.927750292
120,Dorcas Gazelle,Cetartiodactyla,Bovidae,Gazella,Gazella dorcas,G2,F4,3,3,G2,F4,4,3,G2,A1,2,2,C5,NA,0,1,8.05,132.39,23.6,2.246553566
121,Mountain Gazelle,Cetartiodactyla,Bovidae,Gazella,Gazella gazella,E2,A1,3,2,E2,C5,4,3,E2,A1,2,2,C5,NA,0,1,11.17,180.3,23.49,2.142983952
122,Slender-Horned Gazelle,Cetartiodactyla,Bovidae,Gazella,Gazella leptoceros,G2,G1,3,3,G1,A1,4,2,G1,A1,2,2,C5,NA,0,1,3.93,94.23,24.82,2.344763108
123,Speke's Gazelle,Cetartiodactyla,Bovidae,Gazella,Gazella spekei,G2,G1,3,4,E2,E4,4,3,E2,A1,2,2,C5,NA,0,1,13.51,203.01,6.47,2.085612815
124,Goitered Gazelle,Cetartiodactyla,Bovidae,Gazella,Gazella subgutturosa,A1,G1,1,2,G1,A1,4,2,G1,NA,0,1,C5,NA,0,1,17.2,208.39,32.06,2.041877893
125,Himalayan Tahr,Cetartiodactyla,Bovidae,Hemitragus,Hemitragus jemlahicus,E4,NA,0,1,E4,G1,6,2,E4,NA,0,1,E4,NA,0,1,121.77,884.01,30.09,-0.000939325
126,Roan Antelope,Cetartiodactyla,Bovidae,Hippotragus,Hippotragus equinus,C5,A1,3,3,F2,NA,0,1,F2,NA,0,1,C5,NA,0,1,89.35,884.32,-4.58,0.31024484
127,Sable Antelope,Cetartiodactyla,Bovidae,Hippotragus,Hippotragus niger,E5,A1,2,2,E5,NA,0,1,E5,NA,0,1,E5,NA,0,1,80.83,857.47,-13.63,0.433383495
128,Waterbuck,Cetartiodactyla,Bovidae,Kobus,Kobus ellipsiprymnus,E2,A1,3,2,E2,NA,0,1,E2,E3,1,2,E2,NA,0,1,92,934.8,-6.47,0.20724663
129,Kob,Cetartiodactyla,Bovidae,Kobus,Kobus kob,G2,A1,3,2,G2,G3,6,2,G2,A1,2,2,G2,A1,1,2,106.52,1026.71,6.17,-0.073485299
130,Southern Lechwe,Cetartiodactyla,Bovidae,Kobus,Kobus leche,G3,A1,3,2,G3,A1,4,2,G3,C5,3,3,G3,C5,2,2,84.65,780.79,-14.22,0.514420136
